"date","close","volume","open","high","low"
"2017/08/22","169.3400","4881545.0000","167.7600","169.9300","167.0400"
"2017/08/21","166.7600","6475177.0000","166.9100","168.9900","164.2300"
"2017/08/18","166.5400","7382033.0000","165.9500","169.9700","165.8000"
"2017/08/17","166.0900","5192068.0000","169.2300","170.5800","165.7200"
"2017/08/16","169.9800","7008791.0000","167.5000","170.5000","166.2500"
"2017/08/15","168.5000","5531580.0000","171.5300","171.8800","168.2500"
"2017/08/14","171.0000","7463217.0000","169.8000","172.4500","168.8000"
"2017/08/11","171.4000","5020823.0000","169.8600","172.5800","169.0000"
"2017/08/10","169.1400","9622203.0000","174.0300","174.4500","167.6000"
"2017/08/09","175.7800","9658249.0000","171.4300","175.9600","170.0100"
"2017/08/08","178.3600","5951139.0000","181.3700","181.9100","177.4500"
"2017/08/07","181.3300","4607985.0000","181.0000","182.2700","179.1000"
"2017/08/04","180.2700","4488247.0000","179.6000","181.0000","178.5000"
"2017/08/03","179.2300","4621346.0000","180.5300","181.2248","178.0200"
"2017/08/02","180.7400","5759754.0000","182.2200","182.5700","177.8149"
"2017/08/01","182.0300","5057534.0000","182.4900","184.6200","181.4300"
"2017/07/31","181.6600","4865555.0000","184.2600","184.9738","180.6500"
"2017/07/28","184.0400","6200163.0000","182.0000","185.0300","181.1800"
"2017/07/27","182.6800","11215160.0000","189.8900","190.0000","179.3800"
"2017/07/26","189.0800","4463927.0000","187.7000","189.7043","187.5100"
"2017/07/25","186.9700","5370777.0000","187.7900","188.6600","185.8100"
"2017/07/24","187.9100","8787797.0000","188.6850","190.2500","187.0100"
"2017/07/21","188.5400","9258337.0000","182.7200","191.5000","182.7100"
"2017/07/20","183.6000","7873110.0000","183.8400","185.9200","182.7000"
"2017/07/19","183.8600","17240990.0000","182.9700","187.1700","181.7500"
"2017/07/18","183.6000","41525590.0000","176.1200","185.0000","174.2400"
"2017/07/17","161.7000","16681910.0000","162.9100","163.5500","160.0201"
"2017/07/14","161.1200","5520100.0000","159.3000","161.3500","157.9700"
"2017/07/13","158.2100","6694418.0000","158.5100","160.1300","156.9800"
"2017/07/12","158.7500","8283452.0000","155.7700","158.8000","155.7700"
"2017/07/11","154.3300","4887326.0000","152.3700","155.2300","151.5500"
"2017/07/10","152.6700","5201728.0000","150.3400","153.2300","149.6500"
"2017/07/07","150.1800","5494083.0000","146.6500","150.7500","146.6500"
"2017/07/06","146.2500","5483358.0000","146.1300","147.2700","144.2500"
"2017/07/05","147.6100","4621712.0000","146.5800","148.2600","145.5800"
"2017/07/03","146.1700","3908215.0000","149.8000","150.4500","145.8000"
"2017/06/30","149.4100","5210381.0000","149.7600","150.7100","148.4200"
"2017/06/29","150.0900","7140247.0000","152.8200","152.8200","148.0000"
"2017/06/28","153.4100","5585346.0000","151.6400","154.2000","150.1200"
"2017/06/27","151.0300","7418109.0000","156.6200","156.9775","150.7197"
"2017/06/26","157.5000","6008732.0000","158.7800","159.9700","156.5600"
"2017/06/23","158.0200","6248042.0000","155.0100","158.1900","153.7600"
"2017/06/22","154.8900","3765517.0000","155.1300","155.2000","153.7000"
"2017/06/21","155.0300","5795132.0000","152.5000","155.3800","152.2600"
"2017/06/20","152.0500","4876683.0000","153.6800","154.5000","151.4000"
"2017/06/19","153.4000","6523551.0000","154.2900","155.5800","152.4100"
"2017/06/16","152.3800","6807227.0000","151.4500","153.5300","150.3900"
"2017/06/15","151.7600","7001046.0000","149.4400","152.5600","147.3000"
"2017/06/14","152.2000","6452765.0000","154.3400","155.6150","150.2800"
"2017/06/13","152.7200","8475433.0000","154.3800","155.6800","150.1300"
"2017/06/12","151.4400","14093750.0000","155.3000","155.5300","148.3100"
"2017/06/09","158.0300","10284740.0000","166.2700","166.2700","154.5000"
"2017/06/08","165.8800","3702747.0000","166.1200","166.8700","164.8400"
"2017/06/07","165.6100","3350386.0000","165.6000","166.4000","164.4086"
"2017/06/06","165.1700","4372886.0000","164.9500","166.8200","164.5100"
"2017/06/05","165.0600","3869108.0000","165.4900","165.5000","163.4300"
"2017/06/02","165.1800","4254060.0000","163.4200","165.3600","162.8000"
"2017/06/01","162.9900","3886772.0000","163.5200","163.9316","161.7000"
"2017/05/31","163.0700","5340487.0000","163.6100","164.0000","160.7400"
"2017/05/30","163.2200","4824557.0000","163.6000","164.7500","162.7100"
"2017/05/26","162.4300","4827059.0000","162.8400","163.0500","161.1200"
"2017/05/25","163.0500","8546534.0000","161.0000","164.1000","160.5500"
